dataset;csv_file;originalParameter;description;P01;use;unit;multiply;newUnit;P06;additionalField;additionalFieldValue
;;;;;;;;;;data_holder;NLWKN
;;;;;;;;;;data_owner;NLWKN
;;;;;;;;;;link_to_data;https://nlwkn.hannit-share.de/f/143229
NLWKN-Bork;Bork_W_1_1994-2019.csv;Nitrat [?mol/l];NO3;NTRAXXDZ;x;umol/l;0.014;mg/l;UMGL;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;TOC [mg/l];TOC;;x;;1;;UMGL;;
NLWKN-Bork;Bork_W_1_1994-2019.csv;DOC [mg/l];DOC;CORGWCDZ;x;;1;;UMGL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;ortho P_mg/l P;PO4;PHOSKGD5;x;;1;;UMGL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Pges_mg/l P;Ptot;TPHSVLPT;x;;1;;UMGL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;P_ges gel?st_mg/l P;TDP;TPHSDSZZ;x;mg/l P;1;;UMGL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;SiO2 gel?st_mg/l SiO2;SiO2;SLCAAAD1;;;1;;UMGL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Nges_mg/l N;Ntot;MDMAP013;x;mg/l P;1;;UMGL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;N_ges gel?st_mg/l N;TDN;NTOTWCDZ;x;mg/l P;1;;UMGL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;NH4-N_mg/l N;NH4;AMONAAD4;x;;1;;UMGL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;NO2-N_mg/l N;NO2;NTRIMADZ;x;;1;;UMGL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;NO3-N_mg/l N;NO3;NTRAXXDZ;x;;1;;UMGL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Abfiltrierbare_Stoffe (Seston)_mg/l;Zwevend_stof;SPM02WE1;x;;1;;UMGL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Gl�hverlust der abfiltrierbaren Stoffe_%;gloeiverlies;;;;;;;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Phaeophytin [?g/l]_[?g/l];phaeo;PHAEZZXX;x;;1;;UGPL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Chlorophyll-aktiv [?g/l]_[?g/l];chlfa_active;;x;�g/l;1;;UGPL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Chlorophyll_gesamt [?g/l]_[?g/l];totChlfa;SCHLSPP4;;;;;;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Nord_Chlorid Titration [?]_?;chloride;;;;;;;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Nord_Salinit?t Sonde [PSU]_PSU;Saliniteit_sonde;;x;;1;;UGKG;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Nord_Salinit?t Titration [?/oo]_Promill;Saliniteit_titratie;;;;;;UGKG;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Leitf?higkeit bei 25?C_?S/cm;Geleidbaarheid;;;;;;;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;pH_;pH;PHMASSXX;x;;1;;UUPH;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Salzgehalt_ [?];Saliniteit3;ODSDM021;;;;;;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Salzgehalt_PSU;saliniteit_PSU;ODSDM021;x;;1;;UGKG;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Sauerstoff_[mg/l];Zuurstofconcentratie;DOXMZZXX;x;;1;;UMGL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Sichttiefe_m;secchi;SECCSDNX;x;;1;;ULAA;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Lufttemperatur_?C;luchttemperatuur;;;;;;UPAA;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Wassertemperatur_?C;watertemperatuur;PSSTTS01;x;;1;;UPAA;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;DOC_mg/l C;DOC;CORGWCDZ;x;;1;;UMGL;;
NLWKN-NneyHW-2010-2015;Nney_HW_&_NW_2010-15.csv;Aufwirbelung durch Schiffsverkehr_Ja/Nein;Opwerveling;;;;;;;;
Nney_W_2_chem_f_Projekt_1999-19;Nney_W_2_chem_f_Projekt_1999-18_a.csv;Ammonium [�mol/l];NH4;AMONAAD4;x;umol/l;0.014;mg/l;UMGL;;
Nney_W_2_chem_f_Projekt_1999-20;Nney_W_2_chem_f_Projekt_1999-18_a.csv;Nitrat [�mol/l];NO3;NTRAXXDZ;x;umol/l;0.014;mg/l;UMGL;;
