data_owner;location_code;location_name;xy;dups;modelNames;station_name;descriptive_name;What to do?
IMR;eu_M459;M459;6.25_59.51;FALSE;NA;M459;M459;
IMR;eu_M271;M271;6.27_58.25;FALSE;NA;M271;M271;
IMR;eu_M317;M317;6.27_58.99;FALSE;NA;M317;M317;
IMR;eu_M320;M320;6.27_59.01;FALSE;NA;M320;M320;
RBINS;eu_R0136_GKSS;R0136_GKSS;6.2835_53.699;FALSE;NA;R0136_GKSS;R0136_GKSS;
Rijkswaterstaat;ROTTMPT50;Rottumerplaat 50 km uit de kust;6.3087_53.9532;FALSE;NA;ROTTMPT50;Rottumerplaat 50 km uit de kust;
NIOZ;nioz_ROTTMPT50;ROTTMPT50;6.31_53.9539;FALSE;ROTTMPT50;ROTTMPT50;Rottumerplaat 50 km uit de kust;
IMR;eu_M584;M584;6.31_60.39;FALSE;NA;M584;M584;
IMR;eu_M94;M94;6.33_57.01;FALSE;NA;M94;M94;
Rijkswaterstaat;EILDBG;Eilanderbalg;6.3353_53.4747;TRUE;NA;EILDBG;Eilanderbalg;
Rijkswaterstaat;donar_EILDBG;EILDBG;6.3353_53.4747;FALSE;NA;EILDBG;Eilanderbalg;
IMR;eu_M47;M47;6.35_56.99;FALSE;NA;M47;M47;
IMR;eu_M95;M95;6.35_57.01;FALSE;NA;M95;M95;
IMR;eu_M583;M583;6.35_60.37;FALSE;NA;M583;M583;
PML;pml_63;9.0;-6.353_51.026;FALSE;NA;pml_63;9.0;
PML;pml_60;6.0;-6.359_51.089;FALSE;NA;pml_60;6.0;
IMR;eu_M48;M48;6.37_56.99;FALSE;NA;M48;M48;
IMR;eu_M96;M96;6.37_57.01;FALSE;NA;M96;M96;
PML;pml_61;7.0;-6.373_51.054;FALSE;NA;pml_61;7.0;
PML;pml_59;5.0;-6.373_51.072;FALSE;NA;pml_59;5.0;
RBINS;eu_R0130_GKSS;R0130_GKSS;6.379_54.7972;FALSE;NA;R0130_GKSS;R0130_GKSS;
IMR;eu_M111;M111;6.39_57.05;FALSE;NA;M111;M111;
IMR;eu_M321;M321;6.39_59.01;FALSE;NA;M321;M321;
PML;pml_84;19.0;-6.399_50.497;FALSE;NA;pml_84;19.0;
RBINS;eu_E1332_GKSS;E1332_GKSS;6.399_53.693;FALSE;NA;E1332_GKSS;E1332_GKSS;
Rijkswaterstaat;GRONGWD;Groningerwad;6.4062_53.4508;FALSE;NA;GRONGWD;Groningerwad;
RBINS;eu_R0146_GKSS;R0146_GKSS;6.4108_53.895;FALSE;NA;R0146_GKSS;R0146_GKSS;
Rijkswaterstaat;donar_LAUWS;LAUWS;6.4171_53.531;TRUE;NA;LAUWS;Lauwers;
Rijkswaterstaat;LAUWS;Lauwers;6.4171_53.531;FALSE;NA;LAUWS;Lauwers;
IMR;eu_M112;M112;6.43_57.05;FALSE;NA;M112;M112;
IMR;eu_M120;M120;6.43_57.11;FALSE;NA;M120;M120;
IMR;eu_M212;M212;6.43_57.95;FALSE;NA;M212;M212;
IMR;eu_M585;M585;6.43_60.39;FALSE;NA;M585;M585;
IMR;eu_M719;M719;6.43_61.81;FALSE;NA;M719;M719;
Rijkswaterstaat;ZUIDOLWNWT;Zuid Oost Lauwers noordwest;6.4359_53.495;FALSE;NA;ZUIDOLWNWT;Zuid Oost Lauwers noordwest;
RBINS;eu_E1315_GKSS;E1315_GKSS;6.438_54.887;FALSE;NA;E1315_GKSS;E1315_GKSS;
